citation_key,title,authors,year,venue,doi_or_url,verified,supports_claim
lundberg2017shap,A Unified Approach to Interpreting Model Predictions,"Lundberg, Scott M. and Lee, Su-In",2017,Advances in Neural Information Processing Systems (NeurIPS),https://proceedings.neurips.cc,yes (arXiv API + Semantic Scholar venue/pages),yes - SHAP
barber2021jackknife,Predictive inference with the jackknife+,"Barber, Rina Foygel and Cand`es, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2021,The Annals of Statistics,https://doi.org/10.1214/20-AOS1965,yes (Crossref DOI),yes - jackknife+/CV+ predictive intervals with 1-2alpha guarantee (Ann. Stat.); used for CQR-CV+
wang2020xjtu,A Hybrid Prognostics Approach for Estimating Remaining Useful Life of Rolling Element Bearings,"Wang, Biao and Lei, Yaguo and Li, Naipeng and Li, Ningbo",2020,IEEE Transactions on Reliability,https://doi.org/10.1109/TR.2018.2882682,yes (Crossref DOI + dataset author's official repository README),yes - XJTU-SY dataset source paper requested by the dataset authors
angelopoulos2024crc,Conformal Risk Control,"Angelopoulos, Anastasios N. and Bates, Stephen and Fisch, Adam and Lei, Lihua and Schuster, Tal",2024,International Conference on Learning Representations (ICLR),https://proceedings.neurips.cc,yes (arXiv API (2208.02814) + official ICLR 2024 proceedings page),yes - conformal risk control of expected monotone losses; used for bearing-level lateness control
kharazian2025scania,SCANIA Component X dataset: a real-world multivariate time series dataset for predictive maintenance,"Kharazian, Zahra and Lindgren, Tony and Magnusson, Sindri and Steinert, Olof and Andersson Reyna, Oskar",2025,Scientific Data,https://doi.org/10.1038/s41597-025-04802-6,yes (Crossref DOI + DataCite dataset DOI 10.5878/bnh5-ka77),yes - SCANIA Component X fleet dataset (CC BY 4.0) used for the fleet-scale study
tao2019dt,Digital Twin in Industry: State-of-the-Art,"Tao, Fei and Zhang, He and Liu, Ang and Nee, A. Y. C.",2019,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/TII.2018.2873186,yes (Crossref DOI + Semantic Scholar abstract),yes - DTs characterized by seamless cyber-physical integration (abstract); cited to contrast our lightweight state record
jitkrittum2023cascade,When Does Confidence-Based Cascade Deferral Suffice?,"Jitkrittum, Wittawat and Gupta, Neha and Menon, Aditya Krishna and Narasimhan, Harikrishna and Rawat, Ankit Singh and Kumar, Sanjiv",2023,Advances in Neural Information Processing Systems (NeurIPS),https://proceedings.neurips.cc,yes (Crossref DOI 10.52202/075280-0431 + Semantic Scholar abstract),yes - confidence-based deferral often works well; characterizes when it fails (abstract)
geifman2017selective,Selective Classification for Deep Neural Networks,"Geifman, Yonatan and El-Yaniv, Ran",2017,Advances in Neural Information Processing Systems (NeurIPS),https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html,"yes (NeurIPS proceedings page (NIPS 2017, vol. 30))",yes - selective classifier rejects inputs to meet a user-specified risk (proceedings abstract)
javanmardi2023conformal,Conformal Prediction Intervals for Remaining Useful Lifetime Estimation,"Javanmardi, Alireza and Hullermeier, Eyke",2023,International Journal of Prognostics and Health Management,https://doi.org/10.36001/ijphm.2023.v14i2.3417,yes (Crossref DOI + arXiv 2212.14612),yes - conformal RUL intervals on C-MAPSS (abstract)
basora2025benchmark,A benchmark on uncertainty quantification for deep learning prognostics,"Basora, Luis and Viens, Arthur and Arias Chao, Manuel and Olive, Xavier",2025,Reliability Engineering & System Safety,https://doi.org/10.1016/j.ress.2024.110513,yes (Crossref DOI),yes - benchmark of BNN/MC-dropout/ensemble/heteroscedastic UQ for DL prognostics (indexed snippet)
barber2023beyond,Conformal prediction beyond exchangeability,"Barber, Rina Foygel and Cand`es, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2023,The Annals of Statistics,https://doi.org/10.1214/23-AOS2276,yes (Crossref DOI + Semantic Scholar abstract),yes - conformal prediction when exchangeability is violated; weighted quantiles (abstract)
dunn2023hierarchical,Distribution-Free Prediction Sets for Two-Layer Hierarchical Models,"Dunn, Robin and Wasserman, Larry and Ramdas, Aaditya",2023,Journal of the American Statistical Association,https://doi.org/10.1080/01621459.2022.2060112,yes (Crossref DOI + Semantic Scholar abstract),yes - exchangeability fails with multiple observations per unit; conformal methods for two-layer hierarchical data (abstract)
foygel2021limits,The limits of distribution-free conditional predictive inference,"Foygel Barber, Rina and Cand`es, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2021,Information and Inference: A Journal of the IMA,https://doi.org/10.1093/imaiai/iaaa017,yes (Crossref DOI),"yes - impossibility of distribution-free test-conditional predictive coverage (title/record, well-known result)"
demsar2006statistical,Statistical Comparisons of Classifiers over Multiple Data Sets,"Demvsar, Janez",2006,Journal of Machine Learning Research,https://www.jmlr.org/papers/v7/demsar06a.html,"yes (JMLR paper page (vol. 7, pp. 1-30))",yes - recommends Wilcoxon signed-rank test for paired comparisons over multiple data sets (JMLR abstract)
vanoudenhoven2023pdm5,Predictive maintenance for industry 5.0: behavioural inquiries from a work system perspective,"van Oudenhoven, Bas and Van de Calseyde, Philippe and Basten, Rob and Demerouti, Evangelia",2023,International Journal of Production Research,https://doi.org/10.1080/00207543.2022.2154403,yes (Crossref DOI),yes - decision-makers often do not adopt system-generated PdM advice (abstract)
